DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
UTTARKASHI,0,37,UTTARAKHAND,1,0,0,11,1,4,4,0,2012,3,8,0,1,1,72,0,0,3,2
TOTAL,0,2118,UTTARAKHAND,148,137,44,1913,148,369,297,144,2012,949,964,161,217,17,8882,29,22,391,529
24 PARGANAS NORTH,0,6062,WEST BENGAL,118,94,80,1453,118,680,497,61,2012,381,1072,108,140,19,11765,34,9,6,141
24 PARGANAS SOUTH,0,7641,WEST BENGAL,244,4,28,1279,244,1976,419,35,2012,194,1085,8,224,15,14370,34,6,51,250
ASANSOL,0,1759,WEST BENGAL,36,20,9,947,36,212,77,75,2012,254,693,25,60,1,3897,15,3,21,15
BANKURA,0,1188,WEST BENGAL,35,31,6,224,35,219,84,26,2012,47,177,37,61,22,2758,11,0,14,66
BDN CP,0,1765,WEST BENGAL,13,15,4,847,13,32,53,17,2012,216,631,35,15,0,3446,3,3,10,186
BIRBHUM,0,679,WEST BENGAL,49,17,63,374,49,248,76,42,2012,112,262,186,113,20,3083,10,4,26,74
BKP CP,0,2961,WEST BENGAL,36,49,18,1357,36,125,214,48,2012,508,849,49,89,0,6608,16,3,9,224
BURDWAN,0,1589,WEST BENGAL,58,32,23,470,58,349,99,41,2012,194,276,167,91,23,4674,6,1,6,202
COOCHBEHAR,0,1562,WEST BENGAL,92,23,25,284,92,69,179,9,2012,90,194,94,48,26,3491,3,3,12,86
DAKSHIN DINAJPUR,0,1046,WEST BENGAL,66,36,8,252,66,15,142,3,2012,27,225,238,53,10,2725,1,3,4,63
DARJEELING,0,158,WEST BENGAL,10,20,15,318,10,2,47,6,2012,55,263,17,27,8,1574,6,3,2,15
HOOGHLY,0,2795,WEST BENGAL,68,34,16,807,68,531,177,26,2012,205,602,37,132,31,6434,10,12,6,284
HOWRAH,0,2301,WEST BENGAL,56,67,13,439,56,203,132,36,2012,117,322,32,67,4,5059,14,0,67,125
HOWRAH CITY,0,2879,WEST BENGAL,28,65,9,1166,28,85,191,35,2012,274,892,3,39,4,5675,3,6,19,214
HOWRAH G.R.P.,0,94,WEST BENGAL,2,2,6,323,2,3,4,3,2012,0,323,9,16,0,499,2,3,0,15
JALPAIGURI,0,2952,WEST BENGAL,163,54,27,1461,163,42,334,36,2012,292,1169,156,117,21,7861,5,5,25,104
JHARGRAM,0,264,WEST BENGAL,21,3,5,97,21,52,21,19,2012,11,86,23,30,1,711,10,1,3,17
KHARAGPUR G.R.P.,0,21,WEST BENGAL,2,0,0,149,2,0,4,3,2012,0,149,0,6,0,199,0,0,1,0
KOLKATA,0,10903,WEST BENGAL,68,428,29,4960,68,397,271,44,2012,659,4301,154,85,0,25370,8,26,96,2100
MALDA,0,2290,WEST BENGAL,158,10,21,413,158,59,290,15,2012,161,252,322,118,25,5634,2,110,21,112
MURSHIDABAD,0,2489,WEST BENGAL,257,92,30,961,257,190,579,42,2012,309,652,395,174,50,12713,9,110,4,157
NADIA,0,3871,WEST BENGAL,174,132,21,1251,174,128,433,34,2012,244,1007,357,146,22,11919,29,21,21,338
PASCHIM MIDNAPUR,0,2201,WEST BENGAL,64,59,27,582,64,416,115,37,2012,141,441,86,88,41,5000,13,8,13,64
PURAB MIDNAPUR,0,2126,WEST BENGAL,65,23,15,450,65,403,196,28,2012,127,323,5,82,15,4981,10,4,15,135
PURULIA,0,565,WEST BENGAL,50,8,6,255,50,100,44,26,2012,44,211,12,66,2,1841,8,0,2,40
SEALDAH G.R.P.,0,39,WEST BENGAL,0,2,2,421,0,13,7,10,2012,2,419,9,19,0,657,0,1,0,14
SILIGURI G.R.P.,0,58,WEST BENGAL,0,0,0,167,0,2,3,1,2012,0,167,1,4,0,248,1,1,0,0
SILIGURI_PC,0,385,WEST BENGAL,21,53,6,849,21,9,123,29,2012,365,484,6,32,3,3023,3,0,3,195
UTTAR DINAJPUR,0,1839,WEST BENGAL,92,18,10,435,92,51,306,29,2012,129,306,283,110,33,5212,13,6,7,64
TOTAL,0,64482,WEST BENGAL,2046,1391,522,22991,2046,6611,5117,816,2012,5158,17833,2854,2252,396,161427,279,352,464,5300
CAR,0,8,A & N ISLANDS,0,0,0,4,0,0,1,0,2012,0,4,0,2,0,24,1,0,0,2
NORTH,0,70,A & N ISLANDS,4,0,0,13,4,0,0,1,2012,0,13,0,5,0,115,0,0,6,3
SOUTH,0,273,A & N ISLANDS,8,5,0,54,8,8,7,1,2012,0,54,3,8,4,544,4,1,65,26
TOTAL,0,351,A & N ISLANDS,12,5,0,71,12,8,8,2,2012,0,71,3,15,4,683,5,1,71,31
CHANDIGARH,0,1042,CHANDIGARH,27,34,5,1549,27,49,87,63,2012,894,655,44,21,9,3606,3,2,235,234
TOTAL,0,1042,CHANDIGARH,27,34,5,1549,27,49,87,63,2012,894,655,44,21,9,3606,3,2,235,234
D and N HAVELI,0,112,D & N HAVELI,3,10,0,68,3,11,13,2,2012,36,32,2,7,12,318,2,0,22,4
TOTAL,0,112,D & N HAVELI,3,10,0,68,3,11,13,2,2012,36,32,2,7,12,318,2,0,22,4
DAMAN,0,34,DAMAN & DIU,5,6,0,52,5,6,2,3,2012,39,13,4,3,10,202,1,0,24,7
DIU,0,12,DAMAN & DIU,0,0,0,3,0,3,1,0,2012,3,0,1,0,1,37,0,0,2,1
TOTAL,0,46,DAMAN & DIU,5,6,0,55,5,9,3,3,2012,42,13,5,3,11,239,1,0,26,8
CAW,0,0,DELHI UT,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,178,0,0,0,0
CENTRAL,0,631,DELHI UT,31,39,10,1403,31,6,180,47,2012,846,557,25,35,7,2973,2,4,101,189
CRIME BRANCH,0,15,DELHI UT,1,0,0,1,1,0,3,0,2012,0,1,2,1,0,90,0,6,0,61
DELHI UT TOTAL,0,15408,DELHI UT,706,341,82,22032,706,79,3970,608,2012,14391,7641,439,521,79,54287,28,61,1715,2491
EAST,0,2426,DELHI UT,90,33,9,3258,90,14,503,57,2012,2137,1121,53,48,17,7423,4,1,172,211
EOW,0,2,DELHI UT,0,2,0,0,0,0,0,0,2012,0,0,0,0,0,124,0,0,0,120
GRP(RLY),0,103,DELHI UT,4,9,1,630,4,4,27,12,2012,32,598,0,13,1,837,0,1,1,11
IGI AIRPORT,0,44,DELHI UT,0,1,0,68,0,0,1,1,2012,16,52,0,1,0,382,0,3,1,247
NEW DELHI,0,302,DELHI UT,5,14,1,374,5,12,28,9,2012,138,236,6,9,1,1057,0,16,25,132
NORTH,0,927,DELHI UT,14,37,2,1025,14,5,153,45,2012,612,413,17,25,3,2700,0,3,97,127
NORTH-EAST,0,1512,DELHI UT,78,12,11,2616,78,5,510,58,2012,1944,672,65,49,2,5903,4,4,57,136
NORTH-WEST,0,1253,DELHI UT,64,19,8,1901,64,0,357,65,2012,1329,572,37,60,3,4542,6,3,166,168
OUTER,0,2006,DELHI UT,67,34,15,2215,67,7,572,91,2012,1405,810,60,96,6,6344,6,2,262,233
SOUTH,0,1651,DELHI UT,70,33,3,2126,70,3,245,52,2012,1354,772,19,39,4,5045,2,1,235,256
SOUTH-EAST,0,2004,DELHI UT,116,45,6,2892,116,12,538,72,2012,2045,847,69,46,11,7040,2,10,201,207
SOUTH-WEST,0,1387,DELHI UT,87,27,6,1171,87,6,399,47,2012,800,371,48,47,6,4085,0,3,211,189
STF,0,1,DELHI UT,0,0,0,0,0,0,0,0,2012,0,0,1,0,0,6,0,2,0,2
WEST,0,1144,DELHI UT,79,36,10,2352,79,5,454,52,2012,1733,619,37,52,18,5558,2,2,186,202
LAKSHADWEEP,0,32,LAKSHADWEEP,0,0,0,7,0,10,0,0,2012,1,6,0,0,3,60,0,0,3,0
TOTAL,0,32,LAKSHADWEEP,0,0,0,7,0,10,0,0,2012,1,6,0,0,3,60,0,0,3,0
KARAIKAL,0,392,PUDUCHERRY,6,1,2,81,6,17,2,3,2012,53,28,6,5,1,787,0,1,21,15
PUDUCHERRY,0,1668,PUDUCHERRY,7,8,10,577,7,109,17,13,2012,409,168,21,24,20,3494,5,5,56,75
TOTAL,0,2060,PUDUCHERRY,13,9,12,658,13,126,19,16,2012,462,196,27,29,21,4281,5,6,77,90
ADILABAD,0,1390,Andhra Pradesh,61,93,13,377,61,58,65,14,2013,86,291,72,96,30,6381,2,1,274,254
ANANTAPUR,0,1634,Andhra Pradesh,28,5,3,597,28,56,110,23,2013,154,443,149,156,29,6913,5,5,279,160
CHITTOOR,0,2239,Andhra Pradesh,31,17,2,512,31,57,52,11,2013,158,354,61,72,18,5610,3,6,157,238
CUDDAPAH,0,1741,Andhra Pradesh,19,81,7,702,19,156,84,9,2013,255,447,107,93,34,7048,2,5,220,317
CYBERABAD,0,3139,Andhra Pradesh,138,179,16,4779,138,34,192,89,2013,1761,3018,123,162,40,19992,15,12,1318,2111
EAST GODAVARI,0,1082,Andhra Pradesh,74,86,6,788,74,50,63,15,2013,310,478,71,68,21,6779,3,7,326,222
GUNTAKAL RLY.,0,24,Andhra Pradesh,0,0,0,251,0,0,0,0,2013,0,251,0,2,1,301,0,4,0,3
GUNTUR,0,1569,Andhra Pradesh,38,41,1,675,38,41,61,21,2013,200,475,87,110,21,7026,4,11,192,305
GUNTUR URBAN,0,1123,Andhra Pradesh,28,15,3,991,28,11,46,26,2013,408,583,51,44,14,4878,2,5,190,372
HYDERABAD CITY,0,2839,Andhra Pradesh,101,75,5,4166,101,118,131,47,2013,1353,2813,145,120,62,16355,6,47,658,2382
KARIMNAGAR,0,1881,Andhra Pradesh,57,120,10,771,57,96,118,20,2013,242,529,89,101,45,8836,3,3,349,706
KHAMMAM,0,3864,Andhra Pradesh,100,52,10,887,100,135,114,16,2013,340,547,99,103,42,10607,6,3,455,636
KRISHNA,0,1059,Andhra Pradesh,58,31,0,579,58,15,54,18,2013,154,425,46,56,45,6876,0,12,316,203
KURNOOL,0,1852,Andhra Pradesh,26,16,0,565,26,128,72,27,2013,21,544,175,127,35,7595,12,6,252,506
MAHABOOBNAGAR,0,1733,Andhra Pradesh,117,52,31,1207,117,130,90,18,2013,13,1194,69,191,56,8092,8,6,394,269
MEDAK,0,1591,Andhra Pradesh,64,25,6,775,64,45,44,14,2013,245,530,77,128,58,7054,3,6,414,358
NALGONDA,0,2701,Andhra Pradesh,77,91,5,810,77,231,118,27,2013,244,566,100,98,49,10291,13,2,375,499
NELLORE,0,1239,Andhra Pradesh,26,129,2,1077,26,29,95,41,2013,323,754,110,99,29,7326,4,3,364,223
NIZAMABAD,0,1720,Andhra Pradesh,49,41,12,1035,49,84,54,18,2013,338,697,56,117,60,7662,5,3,480,373
PRAKASHAM,0,1061,Andhra Pradesh,39,81,6,694,39,93,65,30,2013,233,461,101,77,27,6399,7,4,238,294
RAJAHMUNDRY,0,365,Andhra Pradesh,14,22,2,314,14,12,15,18,2013,132,182,15,14,11,2251,1,1,160,48
RANGA REDDY,0,482,Andhra Pradesh,37,9,8,173,37,18,25,13,2013,17,156,47,80,25,2191,1,1,96,94
SECUNDERABAD RLY.,0,60,Andhra Pradesh,0,1,0,737,0,0,2,1,2013,0,737,2,7,0,849,0,5,0,11
SRIKAKULAM,0,1814,Andhra Pradesh,42,15,1,307,42,22,26,11,2013,72,235,49,35,31,4841,1,1,190,153
TIRUPATHI URBAN,0,502,Andhra Pradesh,10,3,1,827,10,22,22,15,2013,326,501,21,26,4,2821,0,0,190,197
VIJAYAWADA CITY,0,1359,Andhra Pradesh,48,124,8,2173,48,6,72,66,2013,783,1390,55,29,24,8978,2,6,323,459
VIJAYAWADA RLY.,0,44,Andhra Pradesh,1,1,0,625,1,1,1,9,2013,0,625,2,6,0,773,3,53,0,3
VISAKHA RURAL,0,548,Andhra Pradesh,32,6,1,329,32,46,30,5,2013,31,298,41,46,27,3238,1,6,132,113
VISAKHAPATNAM,0,2009,Andhra Pradesh,67,64,1,1203,67,9,58,26,2013,332,871,50,30,21,6775,5,1,355,336
VIZIANAGARAM,0,1624,Andhra Pradesh,42,18,2,230,42,30,25,7,2013,2,228,38,30,13,4918,1,3,180,124
WARANGAL,0,1769,Andhra Pradesh,52,3,4,327,52,140,63,17,2013,17,310,54,52,0,5421,1,2,256,237
WARANGAL URBAN,0,1131,Andhra Pradesh,36,2,2,459,36,51,56,18,2013,179,280,20,24,20,4440,1,1,197,363
WEST GODAVARI,0,1456,Andhra Pradesh,123,57,2,1090,123,20,96,19,2013,311,779,67,85,40,8498,5,9,490,446
ZZ TOTAL,0,48644,Andhra Pradesh,1635,1555,170,31032,1635,1944,2119,709,2013,9040,21992,2249,2484,932,218015,125,240,9820,13015
ANJAW,0,5,Arunachal Pradesh,0,0,0,6,0,0,0,1,2013,0,6,0,2,0,28,0,0,2,1
CHANGLANG,0,64,Arunachal Pradesh,5,3,0,32,5,4,11,9,2013,3,29,2,4,1,189,3,0,15,5
DIBANG VALLEY,0,26,Arunachal Pradesh,0,1,0,17,0,1,2,5,2013,3,14,4,2,1,91,0,0,10,1
K/KUMEY,0,12,Arunachal Pradesh,0,2,0,4,0,2,1,0,2013,0,4,2,2,0,41,0,0,3,1
KAMENG EAST,0,33,Arunachal Pradesh,2,0,0,22,2,2,16,0,2013,0,22,4,5,0,169,3,0,12,3
KAMENG WEST,0,78,Arunachal Pradesh,2,2,0,35,2,1,3,2,2013,12,23,0,8,0,164,2,0,14,1
LOHIT,0,85,Arunachal Pradesh,10,1,0,57,10,7,29,9,2013,14,43,4,12,2,330,3,0,18,2
LONGDING,0,26,Arunachal Pradesh,1,0,0,11,1,0,3,0,2013,0,11,1,2,0,78,0,0,6,1
PAPUM PARE,0,143,Arunachal Pradesh,18,9,1,148,18,3,44,14,2013,87,61,4,5,7,600,3,0,46,35
RURAL,0,22,Arunachal Pradesh,3,0,1,22,3,2,9,4,2013,6,16,3,1,1,109,1,0,5,3
SIANG EAST,0,47,Arunachal Pradesh,10,0,0,61,10,2,6,7,2013,11,50,0,6,0,217,1,0,17,5
SIANG UPPER,0,15,Arunachal Pradesh,0,2,0,12,0,0,2,2,2013,1,11,1,3,1,69,0,0,5,1
SIANG WEST,0,46,Arunachal Pradesh,7,2,1,34,7,8,6,10,2013,8,26,4,4,2,263,3,0,17,5
SUBANSIRI LOWER,0,32,Arunachal Pradesh,5,0,0,18,5,2,0,3,2013,3,15,1,4,1,109,1,0,8,4
SUBANSIRI UPPER,0,58,Arunachal Pradesh,10,2,0,10,10,1,5,2,2013,1,9,0,6,6,164,3,0,5,1
TAWANG,0,8,Arunachal Pradesh,2,0,0,11,2,0,1,0,2013,0,11,0,0,0,47,0,0,3,1
TIRAP,0,28,Arunachal Pradesh,0,0,0,13,0,1,3,7,2013,4,9,5,2,1,93,1,0,10,2
UPPER DIBANG VALLEY,0,6,Arunachal Pradesh,0,1,0,1,0,0,1,0,2013,0,1,1,1,0,15,0,0,0,0
ZZ TOTAL,0,734,Arunachal Pradesh,75,25,3,514,75,36,142,75,2013,153,361,36,69,23,2776,24,0,196,72
BAKSA,0,311,Assam,20,7,1,125,20,0,53,11,2013,64,61,3,42,4,768,3,0,40,23
BARPETA,0,4580,Assam,148,168,0,433,148,236,349,31,2013,111,322,18,46,19,8597,20,5,335,230
BIEO,0,0,Assam,0,7,0,0,0,0,0,0,2013,0,0,0,0,0,7,0,0,0,0
BONGAIGAON,0,769,Assam,68,15,0,127,68,22,120,8,2013,65,62,2,20,8,1565,7,1,63,39
C.I.D.,0,16,Assam,0,2,0,2,0,0,0,0,2013,0,2,0,1,0,58,0,0,0,37
CACHAR,0,2278,Assam,79,54,0,821,79,226,227,17,2013,336,485,3,59,52,4880,12,1,206,97
CHIRANG,0,309,Assam,30,10,0,76,30,35,70,10,2013,25,51,0,33,12,763,2,1,20,33
DARRANG,0,581,Assam,92,44,0,225,92,66,147,13,2013,93,132,0,35,5,2459,6,2,145,118
DHEMAJI,0,410,Assam,42,22,0,148,42,24,99,24,2013,53,95,17,22,8,1397,12,1,49,47
DHUBRI,0,1387,Assam,190,183,4,407,190,698,443,30,2013,112,295,48,62,90,6857,43,6,269,303
DIBRUGARH,0,873,Assam,65,110,7,662,65,16,149,34,2013,165,497,7,80,20,3529,11,4,123,41
G.R.P.,0,120,Assam,0,1,0,156,0,9,8,5,2013,2,154,0,13,0,317,1,0,2,2
GOALPARA,0,498,Assam,73,0,2,249,73,112,136,23,2013,87,162,67,70,145,2322,18,0,185,79
GOLAGHAT,0,717,Assam,85,28,0,285,85,25,226,51,2013,117,168,42,63,16,2844,8,1,98,50
GUWAHATI CITY,0,6088,Assam,103,176,12,2295,103,52,451,244,2013,1082,1213,20,61,8,12162,10,37,828,476
HAILAKANDI,0,621,Assam,60,16,0,150,60,112,90,8,2013,36,114,0,14,16,1414,1,1,45,52
HAMREN,0,168,Assam,14,6,0,18,14,2,15,1,2013,3,15,0,11,0,248,0,0,12,1
JORHAT,0,1046,Assam,79,73,3,510,79,25,197,33,2013,199,311,18,67,18,3478,2,3,166,166
KAMRUP,0,1339,Assam,66,77,2,463,66,97,172,24,2013,163,300,17,41,3,3310,3,2,206,62
KARBI ANGLONG,0,71,Assam,8,21,0,96,8,25,58,9,2013,62,34,15,23,71,637,7,2,43,15
KARIMGANJ,0,1375,Assam,44,22,0,183,44,67,115,10,2013,19,164,11,39,23,2411,12,0,132,46
KOKRAJHAR,0,293,Assam,32,25,1,291,32,86,103,7,2013,157,134,18,49,112,1448,5,0,53,39
LAKHIMPUR,0,1164,Assam,59,21,0,166,59,25,134,6,2013,61,105,13,44,7,2281,1,1,103,42
MORIGAON,0,420,Assam,76,6,0,141,76,83,123,12,2013,65,76,25,20,8,1879,1,1,74,71
N.C.HILLS,0,94,Assam,5,0,10,51,5,1,33,1,2013,3,48,10,13,5,265,0,0,20,6
NAGAON,0,2366,Assam,190,137,6,566,190,257,442,160,2013,225,341,87,96,56,7393,34,4,407,165
NALBARI,0,733,Assam,44,30,0,223,44,25,102,25,2013,29,194,7,27,6,2050,5,2,124,48
R.P.O.,0,46,Assam,9,4,0,1,9,4,5,0,2013,0,1,0,4,0,85,2,1,0,9
SIBSAGAR,0,839,Assam,60,23,2,464,60,30,200,40,2013,123,341,48,78,34,3373,1,4,155,123
SONITPUR,0,1352,Assam,99,84,0,544,99,47,251,23,2013,175,369,30,94,23,4159,11,1,186,87
STF,0,13,Assam,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,13,0,0,0,0
TINSUKIA,0,1518,Assam,77,74,4,511,77,0,201,48,2013,57,454,30,84,13,3104,4,1,147,23
UDALGURI,0,280,Assam,20,26,0,126,20,22,82,15,2013,40,86,23,43,11,1113,4,2,55,28
ZZ TOTAL,0,32675,Assam,1937,1472,54,10515,1937,2429,4801,923,2013,3729,6786,579,1354,793,87186,246,84,4291,2558
ARARIA,0,1695,Bihar,52,30,4,289,52,235,114,25,2013,67,222,36,51,15,2813,10,3,38,14
ARWAL,0,537,Bihar,6,0,0,77,6,51,34,6,2013,15,62,0,17,0,909,0,0,27,30
AURANGABAD,0,749,Bihar,19,27,0,365,19,334,59,35,2013,68,297,281,101,22,3648,26,0,95,125
BAGAHA,0,1426,Bihar,15,13,0,183,15,94,68,12,2013,13,170,0,45,4,2039,0,0,28,51
BANKA,0,909,Bihar,33,58,9,169,33,205,87,14,2013,46,123,36,68,9,2065,11,0,58,22
BEGUSARAI,0,2694,Bihar,24,21,2,589,24,482,175,56,2013,198,391,219,107,6,5319,20,0,104,141
BETTIAH,0,2845,Bihar,39,47,9,624,39,549,173,22,2013,198,426,193,76,28,5274,6,5,138,174
BHABHUA,0,298,Bihar,16,19,2,196,16,128,59,21,2013,75,121,54,34,23,1860,4,0,65,15
BHAGALPUR,0,1716,Bihar,51,42,19,456,51,277,147,31,2013,199,257,65,103,4,3590,9,3,134,69
BHOJPUR,0,621,Bihar,23,52,7,423,23,126,124,33,2013,105,318,160,95,25,4888,8,0,148,205
BUXAR,0,880,Bihar,16,57,3,415,16,224,77,48,2013,163,252,62,56,26,2833,11,0,101,61
DARBHANGA,0,2882,Bihar,38,76,5,506,38,565,227,36,2013,159,347,119,77,55,5674,14,1,103,150
GAYA,0,3610,Bihar,45,38,6,1204,45,503,208,73,2013,362,842,49,208,4,7816,39,0,212,167
GOPALGANJ,0,270,Bihar,11,41,2,280,11,417,125,31,2013,104,176,11,81,18,3811,10,0,103,95
JAMALPUR RLY.,0,34,Bihar,1,0,0,223,1,3,3,8,2013,13,210,0,8,0,306,2,0,1,0
JAMUI,0,327,Bihar,24,17,2,96,24,211,62,19,2013,18,78,183,54,14,1942,15,0,50,36
JEHANABAD,0,522,Bihar,14,20,2,194,14,141,37,22,2013,14,180,0,34,11,1976,13,2,37,67
KATIHAR,0,861,Bihar,86,21,0,397,86,208,164,21,2013,198,199,59,61,1,3693,15,2,39,92
KATIHAR RLY.,0,31,Bihar,1,2,2,151,1,2,5,8,2013,0,151,4,10,0,266,1,0,0,5
KHAGARIA,0,448,Bihar,8,4,2,170,8,135,73,22,2013,44,126,76,67,16,2483,7,0,23,32
KISHANGANJ,0,725,Bihar,52,22,8,145,52,179,107,14,2013,29,116,21,42,8,1828,7,12,68,70
LAKHISARAI,0,333,Bihar,9,7,3,125,9,156,40,19,2013,35,90,90,45,7,1326,3,0,24,41
MADHEPURA,0,812,Bihar,14,30,14,226,14,334,87,23,2013,65,161,58,46,7,2745,1,0,41,80
MADHUBANI,0,1780,Bihar,37,25,0,388,37,265,158,28,2013,78,310,0,80,5,4662,15,2,90,50
MOTIHARI,0,3015,Bihar,25,106,11,549,25,918,260,44,2013,152,397,719,164,26,8255,44,8,235,175
MUNGER,0,935,Bihar,7,68,2,336,7,129,75,26,2013,95,241,30,60,0,2195,3,4,55,12
MUZAFFARPUR,0,2308,Bihar,43,54,29,1876,43,539,382,113,2013,859,1017,25,208,12,9021,61,217,292,106
MUZAFFARPUR RLY.,0,188,Bihar,3,0,0,337,3,8,6,10,2013,54,283,2,13,0,606,5,2,4,7
NALANDA,0,1147,Bihar,11,43,41,340,11,167,136,34,2013,104,236,82,112,18,5740,9,1,120,153
NAUGACHIA,0,889,Bihar,10,12,6,60,10,85,36,15,2013,17,43,14,49,3,1564,3,0,18,65
NAWADAH,0,963,Bihar,20,32,2,203,20,333,75,26,2013,62,141,37,97,8,2989,18,0,47,112
PATNA,0,7881,Bihar,76,20,5,4314,76,617,544,186,2013,1755,2559,121,286,5,18302,37,16,591,1004
PATNA RLY.,0,207,Bihar,2,3,4,774,2,15,26,8,2013,71,703,10,23,0,1105,1,1,3,11
PURNEA,0,1458,Bihar,56,82,4,289,56,212,111,27,2013,63,226,203,89,128,3950,14,0,56,141
ROHTAS,0,619,Bihar,60,50,2,615,60,265,168,58,2013,193,422,97,110,11,4769,9,1,172,195
SAHARSA,0,1470,Bihar,14,55,7,201,14,246,100,24,2013,42,159,90,30,11,2792,6,0,29,42
SAMASTIPUR,0,3196,Bihar,35,30,17,431,35,397,152,51,2013,128,303,115,83,23,5802,10,0,73,36
SARAN,0,1494,Bihar,16,61,5,650,16,363,199,45,2013,205,445,262,123,32,5492,16,1,142,116
SHEIKHPURA,0,401,Bihar,10,44,0,87,10,87,40,4,2013,27,60,90,17,0,1116,6,0,31,24
SHEOHAR,0,157,Bihar,3,8,3,57,3,76,49,5,2013,16,41,23,23,12,769,12,0,14,17
SITAMARHI,0,1174,Bihar,26,10,9,650,26,249,220,84,2013,276,374,24,101,32,5324,37,0,203,31
SIWAN,0,3499,Bihar,19,19,2,502,19,397,234,60,2013,241,261,18,105,12,5390,6,0,119,240
SUPAUL,0,106,Bihar,34,81,0,324,34,508,144,17,2013,48,276,15,55,0,2930,6,0,62,55
VAISHALI,0,2244,Bihar,24,237,9,937,24,496,200,57,2013,491,446,136,127,19,5578,29,1,192,148
ZZ TOTAL,0,60356,Bihar,1128,1684,259,21423,1128,11931,5570,1521,2013,7165,14258,3889,3441,660,167455,579,282,4185,4482
BALOD,0,747,Chhattisgarh,20,2,3,61,20,20,30,1,2013,15,46,13,13,4,1215,1,0,47,22
BALODA BAZAR,0,605,Chhattisgarh,55,7,1,151,55,29,144,13,2013,72,79,15,21,12,2284,1,2,198,23
BALRAMPUR,0,585,Chhattisgarh,84,2,0,40,84,20,17,10,2013,8,32,11,40,4,1115,3,2,27,11
BEMETARA,0,950,Chhattisgarh,28,4,0,112,28,15,38,6,2013,34,78,8,18,11,1485,0,1,80,12
BILASPUR,0,897,Chhattisgarh,96,16,1,496,96,99,305,58,2013,274,222,36,77,31,5147,3,3,477,88
BIZAPUR,0,134,Chhattisgarh,6,1,0,3,6,9,17,1,2013,0,3,61,31,4,318,2,0,16,2
DANTEWARA,0,191,Chhattisgarh,9,0,0,16,9,3,6,1,2013,3,13,13,30,12,370,1,0,19,2
DHAMTARI,0,629,Chhattisgarh,30,0,0,85,30,16,33,5,2013,45,40,14,16,2,1189,0,0,116,13
DURG,0,4341,Chhattisgarh,106,13,1,702,106,38,108,41,2013,325,377,57,42,33,6892,4,2,434,140
GARIYABAND,0,512,Chhattisgarh,32,0,0,46,32,14,26,3,2013,17,29,17,9,3,866,2,0,39,31
GRP RAIPUR,0,43,Chhattisgarh,2,0,0,193,2,2,2,3,2013,2,191,3,1,1,266,0,0,2,2
JAGDALPUR,0,504,Chhattisgarh,53,7,0,77,53,15,51,10,2013,53,24,18,36,7,1448,1,0,69,16
JANJGIR,0,713,Chhattisgarh,56,5,3,266,56,132,200,15,2013,122,144,27,44,22,3470,3,2,195,36
JASHPUR,0,577,Chhattisgarh,88,5,1,81,88,11,68,9,2013,19,62,9,60,8,1273,1,2,57,21
KABIRDHAM,0,376,Chhattisgarh,30,2,1,66,30,10,33,4,2013,24,42,8,21,3,1383,0,2,65,18
KANKER,0,669,Chhattisgarh,51,0,2,38,51,15,48,2,2013,15,23,38,39,11,1132,1,0,38,17
KONDAGAON,0,248,Chhattisgarh,19,0,1,17,19,11,29,2,2013,11,6,13,27,6,619,2,0,11,6
KORBA,0,689,Chhattisgarh,57,1,1,195,57,32,78,10,2013,89,106,10,48,10,2214,0,2,119,38
KORIYA,0,361,Chhattisgarh,63,1,0,89,63,16,68,9,2013,22,67,14,30,3,1641,1,1,130,24
MAHASAMUND,0,1323,Chhattisgarh,49,5,1,196,49,33,116,12,2013,71,125,13,19,11,2396,1,2,163,36
MUNGELI,0,688,Chhattisgarh,23,1,0,77,23,36,61,6,2013,9,68,7,27,11,1219,0,1,86,8
NARAYANPUR,0,51,Chhattisgarh,10,0,0,7,10,0,5,3,2013,1,6,27,6,1,189,1,0,14,3
RAIGARH,0,1026,Chhattisgarh,90,13,2,390,90,69,163,39,2013,217,173,49,87,18,3350,7,2,213,57
RAIPUR,0,2542,Chhattisgarh,139,29,3,1396,139,70,428,54,2013,791,605,82,67,57,8907,4,10,588,231
RAJNANDGAON,0,1868,Chhattisgarh,46,20,2,173,46,24,81,6,2013,78,95,30,32,12,2866,1,4,158,55
SARGUJA,0,1000,Chhattisgarh,71,2,1,106,71,22,19,16,2013,58,48,17,37,12,1757,0,1,88,33
SUKMA,0,83,Chhattisgarh,8,0,0,13,8,1,5,1,2013,8,5,26,30,4,213,4,0,7,3
SURAJPUR,0,420,Chhattisgarh,59,1,0,97,59,24,56,11,2013,24,73,11,37,15,1646,3,1,71,27
ZZ TOTAL,0,22772,Chhattisgarh,1380,137,24,5189,1380,786,2235,351,2013,2407,2782,647,945,328,56870,47,40,3527,975
