DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
GANDHINAGAR,0,4348,GUJARAT,13,5,1,524,13,38,29,12,2010,251,273,9,16,5,5755,6,10,118,42
HIMATNAGAR,0,2437,GUJARAT,18,34,2,212,18,39,52,10,2010,98,114,17,28,4,3713,5,13,104,28
JAMNAGAR,0,2543,GUJARAT,14,29,0,359,14,88,32,23,2010,168,191,26,44,7,3972,2,6,159,34
JUNAGADH,0,2369,GUJARAT,19,42,0,553,19,93,68,36,2010,306,247,19,48,21,4690,3,12,185,44
KHEDA NORTH,0,3897,GUJARAT,16,23,0,258,16,58,63,13,2010,106,152,10,35,8,5277,9,9,70,28
KUTCH,0,2824,GUJARAT,8,42,0,404,8,63,36,16,2010,199,205,17,37,10,4258,11,14,130,26
MEHSANA,0,1929,GUJARAT,8,38,3,641,8,67,66,25,2010,231,410,15,22,6,4602,9,17,150,23
NARMADA,0,515,GUJARAT,7,17,1,34,7,12,4,3,2010,21,13,2,17,2,841,0,2,8,8
NAVSARI,0,725,GUJARAT,6,20,0,92,6,25,19,6,2010,41,51,2,22,1,1078,1,6,43,6
PALANPUR,0,2344,GUJARAT,38,37,1,563,38,73,110,58,2010,300,263,23,40,22,4728,11,8,208,35
PANCHMAHAL,0,2316,GUJARAT,13,49,2,184,13,48,58,16,2010,94,90,10,47,17,3720,2,1,93,14
PATAN,0,1308,GUJARAT,11,25,0,270,11,28,38,16,2010,112,158,9,11,4,2438,5,11,77,17
PORBANDAR,0,531,GUJARAT,2,9,0,49,2,9,12,2,2010,16,33,7,9,3,875,0,2,26,16
RAJKOT COMMR.,0,1594,GUJARAT,12,52,1,1039,12,64,39,34,2010,798,241,22,38,17,4024,9,9,243,26
RAJKOT RURAL,0,2275,GUJARAT,24,31,1,287,24,47,69,12,2010,181,106,23,41,10,3741,6,9,90,10
SURAT COMMR.,0,3624,GUJARAT,23,34,1,1712,23,87,82,80,2010,1247,465,19,87,7,7426,12,36,273,126
SURAT RURAL,0,799,GUJARAT,6,26,0,187,6,20,25,8,2010,132,55,8,41,6,1698,2,6,50,20
SURENDRANAGAR,0,1567,GUJARAT,29,37,2,203,29,56,29,15,2010,95,108,12,24,6,2871,3,4,76,11
TAPI,0,263,GUJARAT,3,5,1,59,3,3,1,3,2010,44,15,2,19,1,667,0,3,16,1
VADODARA COMMR.,0,2448,GUJARAT,7,35,1,1529,7,89,36,19,2010,1044,485,25,23,4,5352,9,3,319,115
VADODARA RURAL,0,1396,GUJARAT,16,35,4,212,16,37,55,14,2010,102,110,16,66,18,2663,8,7,71,10
VALSAD,0,874,GUJARAT,11,27,0,284,11,49,14,12,2010,161,123,10,29,1,1821,3,4,87,21
W.RLY,0,73,GUJARAT,0,10,0,529,0,17,6,13,2010,41,488,2,8,0,765,3,2,10,9
TOTAL,0,63788,GUJARAT,408,1214,44,16794,408,1623,1447,1384,2010,9817,6977,462,1048,260,116439,186,255,4071,1002
AMBALA,0,1109,HARYANA,30,25,1,652,30,3,33,18,2010,424,228,30,35,10,2848,4,2,288,133
BHIWANI,0,1171,HARYANA,30,16,1,539,30,171,52,43,2010,347,192,38,61,17,2871,7,1,264,89
FARIDABAD,0,1317,HARYANA,51,174,5,1672,51,178,102,20,2010,1352,320,49,70,5,4920,9,0,277,154
FATEHABAD,0,593,HARYANA,21,7,2,241,21,14,33,9,2010,168,73,33,27,5,1385,1,3,119,37
GRP,0,454,HARYANA,1,5,0,473,1,23,3,18,2010,109,364,4,22,0,1199,2,3,1,7
GURGAON,0,1911,HARYANA,45,99,3,3124,45,96,58,119,2010,2480,644,59,84,2,6736,5,2,492,254
HISSAR,0,1370,HARYANA,25,16,1,829,25,78,84,51,2010,532,297,74,91,43,3821,5,5,320,179
JHAJJAR,0,534,HARYANA,36,25,5,527,36,69,42,37,2010,276,251,50,51,10,2137,7,0,185,47
JIND,0,868,HARYANA,29,65,4,560,29,116,35,43,2010,366,194,40,53,14,2435,0,1,248,49
KAITHAL,0,627,HARYANA,28,59,2,304,28,0,27,19,2010,202,102,24,30,9,1668,6,1,160,19
KARNAL,0,1049,HARYANA,52,25,2,836,52,53,33,24,2010,529,307,50,49,7,3447,5,1,269,135
KURUKSHETRA,0,986,HARYANA,36,78,2,727,36,0,34,22,2010,484,243,21,34,14,2536,2,5,237,31
MAHENDRAGARH,0,788,HARYANA,28,24,3,339,28,112,40,27,2010,154,185,19,31,16,1835,9,0,121,23
MEWAT,0,796,HARYANA,28,18,3,407,28,130,36,17,2010,269,138,36,26,1,1909,13,1,63,59
PALWAL,0,882,HARYANA,41,37,6,617,41,150,41,26,2010,441,176,44,34,7,2306,11,0,66,36
PANCHKULA,0,443,HARYANA,10,115,1,323,10,2,16,7,2010,202,121,6,20,2,1328,4,1,147,84
PANIPAT,0,694,HARYANA,55,27,10,849,55,88,65,41,2010,639,210,31,32,5,2809,7,0,176,50
REWARI,0,1040,HARYANA,25,34,0,543,25,40,33,63,2010,409,134,29,29,6,2351,25,0,171,8
ROHTAK,0,938,HARYANA,51,28,6,855,51,59,32,34,2010,616,239,53,72,8,3077,7,1,276,76
SIRSA,0,686,HARYANA,39,13,1,387,39,28,47,14,2010,272,115,33,45,19,2007,3,1,190,28
SONIPAT,0,1057,HARYANA,27,20,3,984,27,3,75,62,2010,668,316,66,81,14,3475,9,1,215,104
YAMUNANAGAR,0,747,HARYANA,32,9,2,478,32,1,42,20,2010,360,118,47,28,7,2020,6,0,160,60
TOTAL,0,20060,HARYANA,720,919,63,16266,720,1414,963,734,2010,11299,4967,836,1005,221,59120,147,29,4445,1662
BADDIPOLICEDIST,0,44,HIMACHAL PRADESH,5,3,0,50,5,17,9,1,2010,24,26,6,9,1,368,0,0,19,6
BILASPUR,0,792,HIMACHAL PRADESH,15,4,2,69,15,32,8,1,2010,30,39,10,9,8,1138,0,0,28,14
CHAMBA,0,289,HIMACHAL PRADESH,13,1,1,48,13,26,22,0,2010,24,24,4,5,6,663,0,0,77,5
CID,0,5,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,2010,0,0,0,0,0,5,0,0,0,0
G.R.P.,0,11,HIMACHAL PRADESH,0,0,0,3,0,0,0,0,2010,0,3,0,1,0,17,0,0,0,1
HAMIRPUR,0,489,HIMACHAL PRADESH,11,6,3,37,11,34,19,0,2010,11,26,4,11,12,1015,0,0,46,29
KANGRA,0,1433,HIMACHAL PRADESH,22,16,2,139,22,101,38,1,2010,49,90,12,27,26,2416,1,2,143,81
KINNAUR,0,83,HIMACHAL PRADESH,2,1,0,3,2,33,2,0,2010,1,2,0,4,1,197,0,0,19,3
KULLU,0,512,HIMACHAL PRADESH,17,1,0,42,17,39,9,0,2010,7,35,5,11,2,808,0,0,39,15
LAHAUL-SPITI,0,44,HIMACHAL PRADESH,0,1,0,5,0,1,0,0,2010,0,5,1,0,0,67,0,0,0,0
MANDI,0,1043,HIMACHAL PRADESH,19,11,0,79,19,88,19,2,2010,26,53,11,11,22,1788,0,0,88,52
SHIMLA,0,1028,HIMACHAL PRADESH,21,24,1,163,21,92,23,1,2010,66,97,6,20,30,1790,0,2,121,31
SIRMAUR,0,406,HIMACHAL PRADESH,15,10,1,59,15,67,14,1,2010,30,29,5,10,7,844,1,0,39,34
SOLAN,0,313,HIMACHAL PRADESH,11,9,1,74,11,42,13,0,2010,39,35,6,5,4,893,0,0,82,9
UNA,0,528,HIMACHAL PRADESH,9,23,1,67,9,43,18,4,2010,27,40,4,9,8,1040,0,0,42,38
TOTAL,0,7020,HIMACHAL PRADESH,160,110,12,838,160,615,194,11,2010,334,504,74,132,127,13049,2,4,743,318
ANANTNAG,0,506,JAMMU & KASHMIR,7,10,0,140,7,223,75,4,2010,37,103,15,7,18,1299,0,5,99,19
AWANTIPORA,0,263,JAMMU & KASHMIR,2,0,0,34,2,79,17,5,2010,8,26,2,2,2,480,0,1,19,5
